Wall time,Step,Value
1616800687.2696843,5,4682.96826171875
1616800725.9076273,15,312.9683837890625
1616800737.4744225,18,107.11019897460938
1616800760.6633987,24,54.21992111206055
1616800822.6262312,40,14.555200576782227
1616800830.1978354,42,129.70730590820312
1616800838.0221038,44,66.12782287597656
1616800842.002195,45,52.76624298095703
1616800849.6005485,47,37.17860412597656
1616800872.2915063,53,171.9247283935547
1616800876.5942476,54,166.13995361328125
1616800883.979297,56,66.2450180053711
1616800918.2822282,65,100.52702331542969
1616800940.223213,71,265.6664123535156
1616800944.294576,72,228.6388397216797
1616800948.7200773,73,261.6134338378906
1616800952.6507437,74,310.49468994140625
1616800976.2611544,79,2009.5120849609375
1616801014.3479962,87,297.6677551269531
1616801048.4254732,94,642.3624877929688
1616801088.4047024,102,1315.9783935546875
1616801103.6392968,105,995.1781005859375
1616801108.7316086,106,747.265380859375
1616801143.5827785,113,706.38818359375
1616801167.8829246,118,986.3228149414062
1616801208.6543777,126,675.4397583007812
1616801224.0279293,129,609.1860961914062
1616801229.4290395,130,710.3182373046875
1616801274.5208719,139,342.5052490234375
1616801285.3646853,141,493.3684997558594
1616801290.224987,142,1301.1544189453125
1616801333.1027126,150,373.9911804199219
1616801359.3900611,155,154.61175537109375
1616801375.059893,158,160.5439453125
1616801420.17288,167,699.8956298828125
1616801425.7129552,168,1050.213623046875
1616801471.2397375,177,693.988037109375
1616801476.809943,178,1076.3367919921875
1616801502.5399446,183,1169.35693359375
1616801512.0527318,185,1752.4569091796875
1616801516.8999257,186,2902.5478515625
1616801538.4013412,190,1512.572265625
1616801579.9900234,198,971.9434204101562
1616801621.78966,206,4871.4365234375
1616801626.8341987,207,7719.9453125
1616801632.2135959,208,6701.1328125
1616801653.941857,212,2773.89990234375
1616801711.0524106,223,451.1341552734375
1616801742.5523736,229,862.0203857421875
1616801769.087111,234,2913.26806640625
1616801785.2290964,237,793.4649047851562
1616801847.665278,249,901.0458984375
1616801878.8570347,255,1475.9619140625
1616801903.8930187,260,1076.831298828125
1616801918.7185097,263,1031.664794921875
1616801940.152444,267,865.1597290039062
1616801960.826118,271,1954.130859375
1616801971.2652183,273,1335.6163330078125
1616802070.4690654,292,1051.00244140625
1616802096.9810824,297,1748.4864501953125
1616802102.4446964,298,1356.0712890625
1616802129.3412132,303,1882.1973876953125
1616802149.8979049,307,2233.373291015625
1616802155.4212394,308,1697.84716796875
1616802165.4065993,310,3387.389404296875
1616802207.0948086,318,6294.94091796875
1616802211.9022746,319,4069.58447265625
1616802243.0052943,325,2030.305419921875
1616802248.1591399,326,1642.5203857421875
1616802252.6117616,327,957.7548217773438
1616802269.0287888,330,377.43829345703125
1616802314.6041605,339,494.06292724609375
1616802355.2605197,347,599.429931640625
1616802438.801379,363,743.8988647460938
1616802460.0472584,367,398.1950378417969
1616802491.020478,373,214.97586059570312
1616802512.2804449,377,631.9422607421875
1616802523.0245507,379,485.4858093261719
1616802587.7578502,391,681.968017578125
1616802592.8709834,392,715.1929931640625
1616802677.0984516,408,1507.97802734375
1616802745.5294359,421,1033.511962890625
1616802750.977503,422,654.7095947265625
1616802761.5668242,424,631.01708984375
1616802793.4780807,430,865.1962890625
1616802841.8108208,439,1524.3673095703125
1616802851.767176,441,1352.357666015625
1616802857.3821492,442,1207.6278076171875
1616802873.1012602,445,1401.8541259765625
1616802904.5471272,451,796.4487915039062
1616802952.8201754,460,1644.6715087890625
1616802968.9065561,463,829.7297973632812
1616802974.33908,464,730.6001586914062
1616803021.736688,473,1579.2340087890625
1616803026.523513,474,1594.1116943359375
1616803106.3560228,489,1160.9005126953125
1616803117.1693196,491,1536.218994140625
1616803127.3330653,493,1567.8831787109375
1616803199.9179733,507,718.2094116210938
1616803226.384239,512,2321.1328125
1616803236.6920924,514,2187.069091796875
1616803251.9076633,517,1558.9881591796875
1616803293.5027804,525,1693.3194580078125
1616803325.5150173,531,1327.87841796875
1616803335.400192,533,1288.0216064453125
1616803350.5901845,536,1111.9354248046875
1616803382.5266283,542,4055.311767578125
1616803409.1314929,547,1872.472900390625
1616803461.7026608,557,1754.9091796875
1616803472.5844648,559,2787.01708984375
1616803493.1515,563,806.377197265625
1616803525.5476265,569,829.2404174804688
1616803546.9397786,573,1249.2296142578125
1616803551.9340222,574,1777.3460693359375
1616803578.474579,579,2637.207275390625
1616803588.9523065,581,3081.244140625
1616803594.0669935,582,2642.520263671875
